danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,added_at,name
0.754,0.531,8,-11.87,1,0.238,0.114,0.00152,0.0785,0.458,109.062,1LvASuCm9gPr9684FFNKdt,243599,4,2018-07-03T23:57:09Z,Get To Know
0.717,0.584,9,-5.793,0,0.0603,0.798,0.677,0.198,0.662,88.034,0SOg0VldvpnbaPZfS4ZXgJ,136364,4,2018-07-04T00:02:40Z,Getaway
0.492,0.619,0,-8.781,1,0.0893,0.0239,0,0.0807,0.352,140.113,7hnYvLiIHVmLdKfoNl6BUt,262286,4,2018-07-04T00:12:40Z,Loyal
0.713,0.483,4,-8.429,0,0.0781,0.289,3.47e-06,0.121,0.2,96.007,6A624MGrfVN9WUz4lIAOg2,201964,4,2018-07-05T18:49:33Z,Some Reason
0.815,0.52,6,-8.966,0,0.0405,0.756,0.853,0.104,0.324,120.022,48UlszOrUzfprHJfkVOcbb,245000,4,2018-07-05T18:54:30Z,Homegrown - Empty Woods Remix
0.812,0.472,1,-6.806,0,0.0603,0.26,0,0.285,0.457,92.951,7cM9Kqto11iJpY2RwgVJSq,240013,4,2018-08-01T02:40:11Z,Flare Guns
0.665,0.455,10,-13.439,0,0.0583,0.457,0.0271,0.104,0.0741,116.025,31JRYHF9dySudiyABFrJuv,190698,3,2018-07-05T19:00:12Z,Eden
0.506,0.807,1,-4.442,0,0.0541,0.0811,0.000428,0.296,0.556,123.896,0kdkc4WGAjEoIzK87YZKvX,189996,4,2018-07-05T19:01:09Z,Better Not (feat. Wafia) - Zach Nicita Remix
0.702,0.599,4,-8.117,1,0.0416,0.519,1.76e-06,0.0704,0.773,113.995,5YvhDIAqHzL8yvHESPC2Un,194260,4,2018-07-05T19:07:43Z,Sentimental Trick
0.541,0.702,0,-6.884,1,0.0362,0.0187,0.0022,0.0788,0.079,115.01,74R4tYIQIn0slsnvqSCJRK,233739,4,2018-07-05T19:08:27Z,Over You (feat. Frida Sundemo)
0.625,0.439,4,-8.386,0,0.0328,0.131,0.00203,0.305,0.167,89.979,1OrdlOmAGp9kRkhcH5UwER,234652,4,2018-07-05T19:16:24Z,Lately (feat. CYGNAEUS)
0.752,0.692,11,-6.436,0,0.0242,0.359,0.0343,0.103,0.743,114.987,5ZJrnxlVNseqSqR9QHQLbF,224888,4,2018-07-10T13:32:54Z,Toluca Lake
